name,group,relationship_type,priority,age_group,cluster,table,seat
Prasad Gunasekara,Groom's Family,family,4,adult,3,Table 11,3
Poornima Jayasuriya,Groom's Family,family,4,adult,3,Table 11,4
Thanuja Ranasinghe,Groom's Family,family,4,adult,3,Table 11,5
Amila Fernando,Groom's Family,family,4,adult,3,Table 11,6
Ruwan Jayawardena,Groom's Family,family,4,adult,3,Table 11,7
Chathurika Kumarasinghe,Bride's Family,family,4,adult,3,Table 11,8
Isuru Ranasinghe,Bride's Family,family,4,adult,3,Table 11,9
Chathurika Wickramasinghe,Groom's Family,family,4,adult,3,Table 11,10
Hansika Jayawardena,Groom's Family,family,4,adult,3,Table 12,1
Poornima Wijesinghe,Groom's Family,family,4,adult,3,Table 12,2
Sanjeewa Wijesinghe,Bride's Family,family,4,adult,3,Table 12,3
Vidusha Gunawardena,Groom's Family,family,4,adult,3,Table 12,4
Shanika Rathnayake,Bride's Family,family,4,adult,3,Table 12,5
Achini Fernando,Groom's Family,family,4,adult,3,Table 12,6
Kaveesha Wijesinghe,Bride's Family,family,4,adult,3,Table 12,7
Sachini Wijesinghe,Groom's Family,family,4,adult,3,Table 12,8
Chamodi Ranasinghe,Groom's Family,family,4,adult,3,Table 12,9
Suresh Senanayake,Bride's Family,family,4,adult,3,Table 12,10
Dilshan Weerasinghe,Groom's Family,family,4,adult,3,Table 13,1
Chamath Karunaratne,Bride's Family,family,4,adult,3,Table 13,2
Chamath Wijesinghe,Groom's Family,family,4,adult,3,Table 13,3
Ishara Wijesinghe,Bride's Family,family,4,adult,3,Table 13,4
Achini Rathnayake,Bride's Family,family,4,adult,3,Table 13,5
Sampath Jayasuriya,Bride's Family,family,4,adult,3,Table 13,6
Chamath Abeysekara,Bride's Family,family,4,adult,3,Table 13,7
Chanaka Jayawardena,Groom's Family,family,4,adult,3,Table 13,8
Chathura Jayawardena,Groom's Family,family,4,adult,3,Table 13,9
Nimasha Gunawardena,Groom's Family,family,4,adult,3,Table 13,10
Isuru Samarasinghe,Groom's Family,family,4,adult,3,Table 14,1
Poornima Rajapaksha,Bride's Family,family,4,adult,3,Table 14,2
Sithara Amarasinghe,Groom's Family,family,4,adult,3,Table 14,3
Shanika Rajapaksha,Groom's Family,family,4,child,7,Table 14,4
Iresha Weerasinghe,Bride's Family,family,4,child,7,Table 14,5
Chathura Fernando,Bride's Family,family,4,child,7,Table 14,6
Kasun Wijeratne,Groom's Family,family,4,child,7,Table 14,7
Sanjeewa Karunaratne,Bride's Family,family,4,child,7,Table 14,8
Amaya Kumarasinghe,Groom's Family,family,4,child,7,Table 14,9
Gimhani Weerasinghe,Groom's Family,family,4,senior,6,Table 14,10
Rashmi Herath,Bride's Family,family,4,senior,6,Table 15,1
Achini Perera,Relatives,family,3,adult,3,Table 15,2
Sanjeewa Gunasekara,Relatives,family,3,adult,3,Table 15,3
Sampath de Zoysa,Relatives,family,3,adult,3,Table 15,4
Chamara Jayawardena,Relatives,family,3,adult,3,Table 15,5
Dinesh Weerasinghe,Relatives,family,3,senior,6,Table 15,6
Tharindu de Zoysa,Bride's Colleagues,colleague,2,adult,4,Table 15,7
Thilina Amarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 15,8
Achini Senanayake,Bride's Colleagues,colleague,2,adult,4,Table 15,9
Chamath de Zoysa,Bride's Colleagues,colleague,2,adult,4,Table 15,10
Tharindu Perera,Groom's Colleagues,colleague,2,adult,4,Table 16,1
Shanika de Zoysa,Groom's Colleagues,colleague,2,adult,4,Table 16,2
Thilina Gunasekara,Bride's Colleagues,colleague,2,adult,4,Table 16,3
Chathurika Silva,Groom's Colleagues,colleague,2,adult,4,Table 16,4
Sachini Wickramasinghe,Groom's Colleagues,colleague,2,adult,4,Table 16,5
Dilini Senanayake,Bride's Colleagues,colleague,2,adult,4,Table 16,6
Sanjeewa Ranasinghe,Bride's Colleagues,colleague,2,adult,4,Table 16,7
Poornima Weerasinghe,Groom's Colleagues,colleague,2,adult,4,Table 16,8
Ishara Rajapaksha,Bride's Colleagues,colleague,2,adult,4,Table 16,9
Thanuja Senanayake,Bride's Colleagues,colleague,2,adult,4,Table 16,10
Tharindu Gunasekara,Bride's Colleagues,colleague,2,adult,4,Table 17,1
Prasad Kumarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 17,2
Dilshan Karunaratne,Bride's Colleagues,colleague,2,adult,4,Table 17,3
Nayana Perera,Bride's Colleagues,colleague,2,adult,4,Table 17,4
Gimhani Wijeratne,Bride's Colleagues,colleague,2,adult,4,Table 17,5
Roshan Kumarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 17,6
Chamara Wickramasinghe,Bride's Colleagues,colleague,2,adult,4,Table 17,7
Harsha Jayawardena,Bride's Colleagues,colleague,2,adult,4,Table 17,8
Deshani Bandara,Bride's Colleagues,colleague,2,adult,4,Table 17,9
Nuwan Karunaratne,Bride's Colleagues,colleague,2,adult,4,Table 17,10
Nimasha Fernando,Groom's Colleagues,colleague,2,adult,4,Table 18,1
Roshan Jayawardena,Groom's Colleagues,colleague,2,adult,4,Table 18,2
Thanuja Rajapaksha,Groom's Colleagues,colleague,2,adult,4,Table 18,3
Prasad Senanayake,Groom's Colleagues,colleague,2,adult,4,Table 18,4
Yasodha Wijesinghe,Groom's Colleagues,colleague,2,adult,4,Table 18,5
Chanaka Wijeratne,Bride's Colleagues,colleague,2,adult,4,Table 18,6
Nimasha Gunasekara,Groom's Colleagues,colleague,2,adult,4,Table 18,7
Kaveesha Kumarasinghe,Groom's Colleagues,colleague,2,adult,4,Table 18,8
Chamodi Bandara,Groom's Colleagues,colleague,2,adult,4,Table 18,9
Amaya Jayawardena,Groom's Colleagues,colleague,2,adult,4,Table 18,10
Sanduni Wijesinghe,Bride's Colleagues,colleague,2,adult,4,Table 19,1
Prasad Senanayake,Bride's Colleagues,colleague,2,adult,4,Table 19,2
Sanjeewa Amarasinghe,Groom's Colleagues,colleague,2,adult,4,Table 19,3
Ishara Rajapaksha,Groom's Colleagues,colleague,2,adult,4,Table 19,4
Menaka Wickramasinghe,Bride's Colleagues,colleague,2,adult,4,Table 19,5
Vidusha Jayasuriya,Bride's Colleagues,colleague,2,adult,4,Table 19,6
Dilshan Wickramasinghe,Bride's Colleagues,colleague,2,adult,4,Table 19,7
Chamodi Jayawardena,Bride's Colleagues,colleague,2,adult,4,Table 19,8
Deshani Bandara,Bride's Colleagues,colleague,2,adult,4,Table 19,9
Kaveesha Weerasinghe,Bride's Colleagues,colleague,2,adult,4,Table 19,10
Dilshan Weerasinghe,Bride's Colleagues,colleague,2,adult,4,Table 20,1
Yasodha Amarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 20,2
Iresha Herath,Bride's Colleagues,colleague,2,adult,4,Table 20,3
Yohan Rajapaksha,Bride's Colleagues,colleague,2,adult,4,Table 20,4
Gayan Kumarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 20,5
Chathurika Ranasinghe,Bride's Colleagues,colleague,2,adult,4,Table 20,6
Dilshan Weerasinghe,Bride's Colleagues,colleague,2,adult,4,Table 20,7
Nimasha Bandara,Bride's Colleagues,colleague,2,adult,4,Table 20,8
Achini Jayawardena,Bride's Colleagues,colleague,2,adult,4,Table 20,9
Kavindi Herath,Bride's Colleagues,colleague,2,adult,4,Table 20,10
Deshani Dissanayake,Bride's Colleagues,colleague,2,adult,4,Table 21,1
Menaka Gunasekara,Bride's Colleagues,colleague,2,adult,4,Table 21,2
Rashmi Rajapaksha,Bride's Colleagues,colleague,2,adult,4,Table 21,3
Amila Senanayake,Bride's Colleagues,colleague,2,adult,4,Table 21,4
Nadeesha Senanayake,Bride's Colleagues,colleague,2,adult,4,Table 21,5
Amila Samarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 21,6
Gayan Kumarasinghe,Bride's Colleagues,colleague,2,adult,4,Table 21,7
Nimasha Karunaratne,Groom's Colleagues,colleague,2,child,4,Table 21,8
Sampath Weerasinghe,Bride's Colleagues,colleague,2,senior,4,Table 21,9
Sanduni Perera,Bride's Colleagues,colleague,2,senior,4,Table 21,10
Harsha Karunaratne,Bride's Friends,friend,2,adult,1,Table 22,1
Vidusha Gunasekara,Groom's Friends,friend,2,adult,1,Table 22,2
Tharushi Samarasinghe,Bride's Friends,friend,2,adult,1,Table 22,3
Lahiru Weerasinghe,Groom's Friends,friend,2,adult,1,Table 22,4
Amaya Herath,Groom's Friends,friend,2,adult,1,Table 22,5
Thilina Senanayake,Groom's Friends,friend,2,adult,1,Table 22,6
Nipun Abeysekara,Groom's Friends,friend,2,adult,1,Table 22,7
Anjali Abeysekara,Bride's Friends,friend,2,adult,1,Table 22,8
Chamath Silva,Groom's Friends,friend,2,adult,1,Table 22,9
Hansika Dissanayake,Bride's Friends,friend,2,adult,1,Table 22,10
Suresh Wijeratne,Bride's Friends,friend,2,adult,1,Table 23,1
Chamodi Abeysekara,Bride's Friends,friend,2,adult,1,Table 23,2
Nadeeka Kumarasinghe,Groom's Friends,friend,2,adult,1,Table 23,3
Nimasha Bandara,Groom's Friends,friend,2,adult,1,Table 23,4
Vidusha Gunasekara,Groom's Friends,friend,2,adult,1,Table 23,5
Poornima Wickramasinghe,Bride's Friends,friend,2,adult,1,Table 23,6
Yohan Weerasinghe,Bride's Friends,friend,2,adult,1,Table 23,7
Nimasha Jayasuriya,Groom's Friends,friend,2,adult,1,Table 23,8
Amila Herath,Groom's Friends,friend,2,adult,1,Table 23,9
Kasun Weerasinghe,Bride's Friends,friend,2,adult,1,Table 23,10
Lahiru Ranasinghe,Groom's Friends,friend,2,adult,1,Table 24,1
Harsha Senanayake,Groom's Friends,friend,2,adult,1,Table 24,2
Chanaka Rathnayake,Bride's Friends,friend,2,adult,1,Table 24,3
Chathura Rathnayake,Groom's Friends,friend,2,adult,1,Table 24,4
Roshan Rathnayake,Bride's Friends,friend,2,adult,1,Table 24,5
Nipun Wijesinghe,Bride's Friends,friend,2,adult,1,Table 24,6
Nayana Samarasinghe,Bride's Friends,friend,2,adult,1,Table 24,7
Chamara Kumarasinghe,Bride's Friends,friend,2,adult,1,Table 24,8
Ruwan Kumarasinghe,Groom's Friends,friend,2,adult,1,Table 24,9
Tharindu Silva,Bride's Friends,friend,2,adult,1,Table 24,10
Buddhika Jayasuriya,Groom's Friends,friend,2,adult,1,Table 25,1
Tharindu Jayawardena,Bride's Friends,friend,2,adult,1,Table 25,2
Nadeeka Gunawardena,Bride's Friends,friend,2,adult,1,Table 25,3
Piumi Gunasekara,Bride's Friends,friend,2,adult,1,Table 25,4
Roshan Rajapaksha,Groom's Friends,friend,2,adult,1,Table 25,5
Poornima Rathnayake,Groom's Friends,friend,2,adult,1,Table 25,6
Prasad Ranasinghe,Groom's Friends,friend,2,adult,1,Table 25,7
Nadeesha Amarasinghe,Groom's Friends,friend,2,adult,1,Table 25,8
Vidusha Ranasinghe,Bride's Friends,friend,2,adult,1,Table 25,9
Tharushi Gunawardena,Groom's Friends,friend,2,adult,1,Table 25,10
Deshani Herath,Bride's Friends,friend,2,adult,1,Table 26,1
Piumi Samarasinghe,Groom's Friends,friend,2,adult,1,Table 26,2
Amila Gunawardena,Bride's Friends,friend,2,adult,1,Table 26,3
Amaya Samarasinghe,Groom's Friends,friend,2,adult,1,Table 26,4
Harsha de Zoysa,Bride's Friends,friend,2,adult,1,Table 26,5
Gimhani Abeysekara,Bride's Friends,friend,2,adult,1,Table 26,6
Achini Amarasinghe,Groom's Friends,friend,2,adult,1,Table 26,7
Nimasha Jayawardena,Groom's Friends,friend,2,adult,1,Table 26,8
Ravindu Weerasinghe,Bride's Friends,friend,2,adult,1,Table 26,9
Thanuja Jayawardena,Groom's Friends,friend,2,adult,1,Table 26,10
Kaveesha Herath,Groom's Friends,friend,2,adult,1,Table 27,1
Malith Wickramasinghe,Groom's Friends,friend,2,adult,1,Table 27,2
Kasun Perera,Bride's Friends,friend,2,adult,1,Table 27,3
Kasun Rajapaksha,Groom's Friends,friend,2,adult,1,Table 27,4
Nadeesha Gunasekara,Bride's Friends,friend,2,adult,1,Table 27,5
Chathurika Abeysekara,Groom's Friends,friend,2,adult,1,Table 27,6
Prasad Gunasekara,Bride's Friends,friend,2,adult,1,Table 27,7
Buddhika de Zoysa,Bride's Friends,friend,2,adult,1,Table 27,8
Amila Rajapaksha,Bride's Friends,friend,2,adult,1,Table 27,9
Shanika Kumarasinghe,Bride's Friends,friend,2,adult,1,Table 27,10
Amila Abeysekara,Groom's Friends,friend,2,adult,1,Table 28,1
Sithara Weerasinghe,Bride's Friends,friend,2,adult,1,Table 28,2
Iresha Gunawardena,Groom's Friends,friend,2,adult,1,Table 28,3
Dilshan de Zoysa,Bride's Friends,friend,2,adult,1,Table 28,4
Ravindu Rathnayake,Bride's Friends,friend,2,adult,1,Table 28,5
Nadeesha Silva,Bride's Friends,friend,2,adult,1,Table 28,6
Nimasha Herath,Bride's Friends,friend,2,adult,1,Table 28,7
Gayan Amarasinghe,Groom's Friends,friend,2,adult,1,Table 28,8
Sampath Weerasinghe,Groom's Friends,friend,2,adult,1,Table 28,9
Ravindu Perera,Groom's Friends,friend,2,adult,1,Table 28,10
Nadeesha Karunaratne,Groom's Friends,friend,2,adult,1,Table 29,1
Ravindu Kumarasinghe,Bride's Friends,friend,2,adult,1,Table 29,2
Amila Abeysekara,Bride's Friends,friend,2,adult,1,Table 29,3
Chanaka Fernando,Groom's Friends,friend,2,adult,1,Table 29,4
Anjali Kumarasinghe,Groom's Friends,friend,2,adult,1,Table 29,5
Chamara Ranasinghe,Bride's Friends,friend,2,adult,1,Table 29,6
Deshani Samarasinghe,Groom's Friends,friend,2,adult,1,Table 29,7
Isuru Wijeratne,Bride's Friends,friend,2,adult,1,Table 29,8
Dulmini Abeysekara,Bride's Friends,friend,2,adult,1,Table 29,9
Shanika Ranasinghe,Groom's Friends,friend,2,adult,1,Table 29,10
Dinesh Weerasinghe,Groom's Friends,friend,2,adult,1,Table 30,1
Achini Amarasinghe,Bride's Friends,friend,2,adult,1,Table 30,2
Nipun Gunasekara,Groom's Friends,friend,2,adult,1,Table 30,3
Gayan Abeysekara,Bride's Friends,friend,2,adult,1,Table 30,4
Dinesh Gunawardena,Groom's Friends,friend,2,adult,1,Table 30,5
Roshan de Zoysa,Groom's Friends,friend,2,adult,1,Table 30,6
Sanduni Wickramasinghe,Bride's Friends,friend,2,adult,1,Table 30,7
Piumi Senanayake,Bride's Friends,friend,2,adult,1,Table 30,8
Nadeeka Samarasinghe,Groom's Friends,friend,2,adult,1,Table 30,9
Kasun Weerasinghe,Groom's Friends,friend,2,adult,1,Table 30,10
Roshan Wijeratne,Groom's Friends,friend,2,adult,1,Table 31,1
Ruwan Karunaratne,Groom's Friends,friend,2,adult,1,Table 31,2
Chamara Abeysekara,Groom's Friends,friend,2,adult,1,Table 31,3
Poornima Perera,Bride's Friends,friend,2,adult,1,Table 31,4
Tharindu Mendis,Bride's Friends,friend,2,adult,1,Table 31,5
Kavindi Bandara,Bride's Friends,friend,2,adult,1,Table 31,6
Chanaka Herath,Groom's Friends,friend,2,child,8,Table 31,7
Prasad Abeysekara,Groom's Friends,friend,2,child,8,Table 31,8
Nayana Gunawardena,Bride's Friends,friend,2,child,8,Table 31,9
Thanuja Wijesinghe,Groom's Friends,friend,2,senior,8,Table 31,10
Sanduni Samarasinghe,Bride's Friends,friend,2,senior,8,Table 32,1
Nipun Herath,Groom's Friends,friend,2,senior,8,Table 32,2
Kaveesha Karunaratne,Groom's Friends,friend,2,senior,8,Table 32,3
Nuwan Rajapaksha,Neighbours,other,1,adult,2,Table 32,4
Dinesh Senanayake,Neighbours,other,1,adult,2,Table 32,5
Ruwan Bandara,Neighbours,other,1,adult,2,Table 32,6
Buddhika Wickramasinghe,Neighbours,other,1,adult,2,Table 32,7
Amaya Karunaratne,Other,other,1,adult,2,Table 32,8
Chamath Abeysekara,Other,other,1,adult,2,Table 32,9
Kavindi Rajapaksha,Neighbours,other,1,adult,2,Table 32,10
Iresha Karunaratne,Neighbours,other,1,adult,2,Table 33,1
Vidusha de Zoysa,Other,other,1,adult,2,Table 33,2
Nadeeka Mendis,Other,other,1,adult,2,Table 33,3
Chanaka de Zoysa,Neighbours,other,1,adult,2,Table 33,4
Tharushi Wijesinghe,Other,other,1,adult,2,Table 33,5
Nadeesha Gunasekara,Other,other,1,adult,2,Table 33,6
Kasun Samarasinghe,Other,other,1,adult,2,Table 33,7
Achini Karunaratne,Neighbours,other,1,adult,2,Table 33,8
Sanduni Wijesinghe,Neighbours,other,1,adult,2,Table 33,9
Nadeesha Wijesinghe,Other,other,1,adult,2,Table 33,10
Kavinda Fernando,Neighbours,other,1,adult,2,Table 34,1
Iresha Mendis,Neighbours,other,1,adult,2,Table 34,2
Poornima de Zoysa,Other,other,1,adult,2,Table 34,3
Asela Amarasinghe,Other,other,1,adult,2,Table 34,4
Roshan Abeysekara,Other,other,1,adult,2,Table 34,5
Roshan Wijeratne,Other,other,1,adult,2,Table 34,6
Nimasha Kumarasinghe,Other,other,1,adult,2,Table 34,7
Kavinda Senanayake,Other,other,1,adult,2,Table 34,8
Isuru Perera,Other,other,1,adult,2,Table 34,9
Tharindu Bandara,Neighbours,other,1,adult,2,Table 34,10
Achini Silva,Neighbours,other,1,adult,2,Table 35,1
Sampath Jayawardena,Other,other,1,adult,2,Table 35,2
Nipun Wijeratne,Other,other,1,adult,2,Table 35,3
Chamodi Dissanayake,Other,other,1,adult,2,Table 35,4
Malith Fernando,Other,other,1,adult,2,Table 35,5
Anjali Senanayake,Other,other,1,adult,2,Table 35,6
Yohan Mendis,Other,other,1,adult,2,Table 35,7
Dinesh Senanayake,Other,other,1,adult,2,Table 35,8
Yohan Rajapaksha,Neighbours,other,1,adult,2,Table 35,9
Harsha Bandara,Other,other,1,adult,2,Table 35,10
Ruwan Mendis,Neighbours,other,1,adult,2,Table 36,1
Rashmi Herath,Other,other,1,adult,2,Table 36,2
Lahiru Herath,Other,other,1,adult,2,Table 36,3
Achini Wijeratne,Other,other,1,adult,2,Table 36,4
Nipun Wijeratne,Other,other,1,adult,2,Table 36,5
Chathurika Gunawardena,Other,other,1,adult,2,Table 36,6
Ravindu Ranasinghe,Other,other,1,adult,2,Table 36,7
Isuru Dissanayake,Other,other,1,adult,2,Table 36,8
Poornima Ranasinghe,Other,other,1,adult,2,Table 36,9
Chamara Rajapaksha,Neighbours,other,1,adult,2,Table 36,10
Isuru Herath,Other,other,1,adult,2,Table 37,1
Vidusha Wijesinghe,Other,other,1,adult,2,Table 37,2
Poornima Dissanayake,Neighbours,other,1,adult,2,Table 37,3
Dinesh Wijeratne,Other,other,1,adult,2,Table 37,4
Nadeesha Weerasinghe,Other,other,1,adult,2,Table 37,5
Gimhani Gunawardena,Other,other,1,adult,2,Table 37,6
Chanaka Amarasinghe,Other,other,1,adult,2,Table 37,7
Kasun Jayasuriya,Other,other,1,adult,2,Table 37,8
Sachini Kumarasinghe,Other,other,1,adult,2,Table 37,9
Nuwan Mendis,Neighbours,other,1,adult,2,Table 37,10
Chanaka Dissanayake,Other,other,1,adult,2,Table 38,1
Menaka Fernando,Other,other,1,adult,2,Table 38,2
Sanduni Wijesinghe,Neighbours,other,1,adult,2,Table 38,3
Madushani Perera,Neighbours,other,1,adult,2,Table 38,4
Sachini Jayawardena,Neighbours,other,1,adult,2,Table 38,5
Anjali Samarasinghe,Neighbours,other,1,adult,2,Table 38,6
Kavinda Gunasekara,Neighbours,other,1,adult,2,Table 38,7
Suresh Mendis,Other,other,1,adult,2,Table 38,8
Shanika Perera,Neighbours,other,1,adult,2,Table 38,9
Sachini Amarasinghe,Neighbours,other,1,adult,2,Table 38,10
Lahiru Samarasinghe,Neighbours,other,1,adult,2,Table 39,1
Piumi Perera,Other,other,1,adult,2,Table 39,2
Dinesh Weerasinghe,Other,other,1,adult,2,Table 39,3
Dilshan Perera,Other,other,1,adult,2,Table 39,4
Kasun Mendis,Neighbours,other,1,adult,2,Table 39,5
Sanduni Herath,Other,other,1,adult,2,Table 39,6
Vidusha Gunasekara,Other,other,1,adult,2,Table 39,7
Prasad Dissanayake,Other,other,1,adult,2,Table 39,8
Roshan Silva,Neighbours,other,1,adult,2,Table 39,9
Chamath Rajapaksha,Other,other,1,adult,2,Table 39,10
Shanika de Zoysa,Other,other,1,adult,2,Table 40,1
Nipun Karunaratne,Other,other,1,adult,2,Table 40,2
Nipun Gunawardena,Other,other,1,adult,2,Table 40,3
Iresha Jayasuriya,Neighbours,other,1,adult,2,Table 40,4
Tharushi de Zoysa,Neighbours,other,1,adult,2,Table 40,5
Sampath Wijesinghe,Other,other,1,adult,2,Table 40,6
Chamodi Senanayake,Other,other,1,adult,2,Table 40,7
Poornima Kumarasinghe,Other,other,1,adult,2,Table 40,8
Tharushi Wickramasinghe,Neighbours,other,1,adult,2,Table 40,9
Gayan Rathnayake,Other,other,1,adult,2,Table 40,10
Ishara Rajapaksha,Other,other,1,adult,2,Table 41,1
Sanduni Gunawardena,Neighbours,other,1,adult,2,Table 41,2
