name,email,phone,group,rsvp,notes
"Shanika Bandara","shanika.bandara@yahoo.com","0701633110","VIP","Accepted","Vegetarian meal"
"Thilina Amarasinghe","thilina.amarasinghe@yahoo.com","0715299058","Bride's Colleagues","Accepted","Traveling from Kandy"
"Kavindi Wijeratne","kavindi.wijeratne@gmail.com","0776447428","VIP","Accepted","Late arrival expected"
"Chathurika Herath","chathurika.herath@hotmail.com","0707401281","Groom's Family","Accepted","Requires seat near stage"
"Nipun Abeysekara","nipun.abeysekara@outlook.com","0783022334","Groom's Friends","Accepted",""
"Kaveesha Karunaratne","kaveesha.karunaratne@gmail.com","0729797692","Bride's Family","Accepted","Late arrival expected"
"Buddhika Gunasekara","buddhika.gunasekara@yahoo.com","0711847581","Relatives","Rejected","Late arrival expected"
"Anjali Abeysekara","anjali.abeysekara@hotmail.com","0787615632","Bride's Friends","Accepted",""
"Chamath Fernando","chamath.fernando@outlook.com","0722427388","Relatives","Rejected","Vegetarian meal"
"Vidusha de Zoysa","vidusha.dezoysa@yahoo.com","0757632348","Other","Accepted","No pork"
"Chamara Bandara","chamara.bandara@outlook.com","0722503148","Groom's Family","Accepted","Traveling from Jaffna"
"Sampath Weerasinghe","sampath.weerasinghe@hotmail.com","0761406123","Bride's Colleagues","Accepted","Elderly guest"
"Thanuja Wijesinghe","thanuja.wijesinghe@yahoo.com","0751752920","Groom's Friends","Accepted","Elderly guest"
"Chamath Silva","chamath.silva@gmail.com","0771914996","Groom's Friends","Accepted","Vegetarian meal"
"Achini Senanayake","achini.senanayake1@gmail.com","0722866934","Bride's Colleagues","Accepted",""
"Chamath de Zoysa","chamath.dezoysa@yahoo.com","0719778944","Bride's Colleagues","Accepted","Vegetarian meal"
"Poornima Perera","poornima.perera@outlook.com","0769838222","Bride's Family","Accepted",""
"Kavinda Gunasekara","kavinda.gunasekara@hotmail.com","0708800748","Bride's Family","Accepted","Bringing +1"
"Deshani Rathnayake","deshani.rathnayake@hotmail.com","0782810117","Bride's Family","Accepted","Traveling from Kandy"
"Nadeeka Mendis","nadeeka.mendis@gmail.com","0729131281","Other","Accepted","Vegan meal"
"Chanaka de Zoysa","chanaka.dezoysa@gmail.com","0705150551","Neighbours","Accepted","Confirmed via WhatsApp"
"Tharindu Perera","tharindu.perera@hotmail.com","0776904121","Groom's Colleagues","Accepted","Needs wheelchair access"
"Amaya Bandara","amaya.bandara@gmail.com","0775323142","Relatives","Rejected",""
"Hansika Dissanayake","hansika.dissanayake@yahoo.com","0727590872","Bride's Friends","Accepted","Traveling from Kandy"
"Poornima Herath","poornima.herath@yahoo.com","0755032585","Other","Accepted","Bringing 2 children"
"Tharushi Wijesinghe","tharushi.wijesinghe@yahoo.com","0713324928","Other","Accepted","Allergic to peanuts"
"Nadeesha Gunasekara","nadeesha.gunasekara@yahoo.com","0753435253","Other","Accepted","Requires seat near stage"
"Suresh Wijeratne","suresh.wijeratne@gmail.com","0716328403","Bride's Friends","Accepted","Requires seat near stage"
"Chamodi Abeysekara","chamodi.abeysekara@hotmail.com","0755593537","Bride's Friends","Accepted",""
"Kasun Samarasinghe","kasun.samarasinghe@hotmail.com","0764874049","Other","Accepted",""
"Asela Samarasinghe","asela.samarasinghe@outlook.com","0719427608","Other","Accepted","Elderly guest"
"Nadeeka Kumarasinghe","nadeeka.kumarasinghe@outlook.com","0713747879","Groom's Friends","Accepted","Traveling from Jaffna"
"Nimasha Bandara","nimasha.bandara@outlook.com","0714402982","Groom's Friends","Accepted","Part of Poruwa ceremony party"
"Vidusha Gunasekara","vidusha.gunasekara@hotmail.com","0788676330","Groom's Friends","Accepted",""
"Achini Karunaratne","achini.karunaratne@hotmail.com","0759995261","Neighbours","Accepted",""
"Sanduni Wijesinghe","sanduni.wijesinghe@gmail.com","0719702386","Neighbours","Accepted",""
"Amaya Samarasinghe","amaya.samarasinghe@gmail.com","0715885179","VIP","Accepted","Bringing 2 children"
"Nadeesha Wijesinghe","nadeesha.wijesinghe@yahoo.com","0755939543","Other","Accepted","No pork"
"Sanduni Jayawardena","sanduni.jayawardena@outlook.com","0709399643","Groom's Family","Accepted","Late arrival expected"
"Shanika de Zoysa","shanika.dezoysa@yahoo.com","0757938373","Groom's Colleagues","Accepted","Vegan meal"
"Thilina Gunasekara","thilina.gunasekara@yahoo.com","0752512963","Bride's Colleagues","Accepted","Vegan meal"
"Chathurika Silva","chathurika.silva@gmail.com","0778539654","Groom's Colleagues","Accepted","Traveling from Kandy"
"Amaya Herath","amaya.herath@yahoo.com","0757385526","Bride's Family","Accepted","Requires seat near stage"
"Poornima Wickramasinghe","poornima.wickramasinghe@yahoo.com","0783426109","Bride's Friends","Accepted",""
"Chathura Wijeratne","chathura.wijeratne@outlook.com","0724031576","Groom's Family","Accepted","Allergic to peanuts"
"Harsha Bandara","harsha.bandara@gmail.com","0759348805","VIP","Accepted",""
"Vidusha Dissanayake","vidusha.dissanayake@yahoo.com","0768981122","VIP","Accepted",""
"Nimasha Dissanayake","nimasha.dissanayake@hotmail.com","0764483580","Bride's Family","Accepted",""
"Sachini Wickramasinghe","sachini.wickramasinghe@gmail.com","0776007018","Groom's Colleagues","Accepted",""
"Tharindu Gunawardena","tharindu.gunawardena@hotmail.com","0763976601","VIP","Accepted","Elderly guest"
"Dilini Samarasinghe","dilini.samarasinghe@hotmail.com","0727183568","Relatives","Rejected","Traveling from Jaffna"
"Dilini Senanayake","dilini.senanayake@outlook.com","0713047210","Bride's Colleagues","Accepted","Traveling from Jaffna"
"Shanika Rajapaksha","shanika.rajapaksha@gmail.com","0709874251","Groom's Family","Accepted","Bringing 2 children"
"Yohan Weerasinghe","yohan.weerasinghe@hotmail.com","0766936673","Bride's Friends","Accepted","Confirmed via WhatsApp"
"Kaveesha Kumarasinghe","kaveesha.kumarasinghe@outlook.com","0784018342","Other","Accepted","Bringing 2 children"
"Nimasha Jayasuriya","nimasha.jayasuriya@gmail.com","0752978465","Groom's Friends","Accepted","Traveling from Jaffna"
"Sanjeewa Ranasinghe","sanjeewa.ranasinghe@yahoo.com","0704375360","Bride's Colleagues","Accepted",""
"Buddhika de Zoysa","buddhika.dezoysa@hotmail.com","0781102865","Groom's Family","Accepted","Requires seat near stage"
"Amila Herath","amila.herath@gmail.com","0783946567","Groom's Friends","Accepted","Requires seat near stage"
"Vidusha Kumarasinghe","vidusha.kumarasinghe@gmail.com","0773277572","VIP","Accepted","Part of Poruwa ceremony party"
"Iresha Weerasinghe","iresha.weerasinghe@outlook.com","0787944979","Bride's Family","Accepted","Bringing 2 children"
"Poornima Weerasinghe","poornima.weerasinghe@gmail.com","0716565326","Groom's Colleagues","Accepted","Vegetarian meal"
"Kasun Weerasinghe","kasun.weerasinghe@outlook.com","0779963616","Bride's Friends","Accepted","Traveling from Kandy"
"Dilshan Samarasinghe","dilshan.samarasinghe@hotmail.com","0776276424","Bride's Family","Accepted",""
"Lahiru Ranasinghe","lahiru.ranasinghe@outlook.com","0786077267","Groom's Friends","Accepted","Vegan meal"
"Kavinda Fernando","kavinda.fernando@yahoo.com","0708445293","Neighbours","Accepted","Confirmed via WhatsApp"
"Ishara Rajapaksha","ishara.rajapaksha@hotmail.com","0759785019","Bride's Colleagues","Accepted","Vegetarian meal"
"Chathurika Mendis","chathurika.mendis@yahoo.com","0711613249","VIP","Accepted","No pork"
"Chathura Fernando","chathura.fernando@gmail.com","0728832877","Bride's Family","Accepted","Bringing 2 children"
"Harsha Senanayake","harsha.senanayake@yahoo.com","0724364763","Groom's Friends","Accepted","Halal meal required"
"Chanaka Rathnayake","chanaka.rathnayake@gmail.com","0723505186","Bride's Friends","Accepted",""
"Iresha Mendis","iresha.mendis@gmail.com","0716877363","Neighbours","Accepted","Vegetarian meal"
"Thanuja Senanayake","thanuja.senanayake@yahoo.com","0712195257","Bride's Colleagues","Accepted","Requires seat near stage"
"Sachini Wickramasinghe","sachini.wickramasinghe1@gmail.com","0751846511","Groom's Family","Accepted",""
"Tharindu Gunasekara","tharindu.gunasekara@outlook.com","0766966385","Bride's Colleagues","Accepted","Allergic to peanuts"
"Poornima de Zoysa","poornima.dezoysa@gmail.com","0788813071","Other","Accepted","Part of Poruwa ceremony party"
"Chathura Rathnayake","chathura.rathnayake@outlook.com","0754887183","Groom's Friends","Accepted","Bringing +1"
"Rashmi Gunawardena","rashmi.gunawardena@hotmail.com","0786448586","VIP","Accepted",""
"Prasad Kumarasinghe","prasad.kumarasinghe@outlook.com","0783865574","Bride's Colleagues","Accepted","Late arrival expected"
"Dilshan Karunaratne","dilshan.karunaratne@gmail.com","0722189907","Bride's Colleagues","Accepted","Traveling from Kandy"
"Anjali Herath","anjali.herath@yahoo.com","0763667917","VIP","Accepted","Requires seat near stage"
"Asela Amarasinghe","asela.amarasinghe@outlook.com","0788304023","Other","Accepted","Halal meal required"
"Piumi Rathnayake","piumi.rathnayake@gmail.com","0779164301","Groom's Family","Accepted","Part of Poruwa ceremony party"
"Dilshan Wijesinghe","dilshan.wijesinghe@yahoo.com","0727808088","Groom's Family","Accepted","Traveling from Kandy"
"Roshan Rathnayake","roshan.rathnayake@gmail.com","0704650919","Bride's Friends","Accepted",""
"Poornima Wickramasinghe","poornima.wickramasinghe@outlook.com","0765890613","Relatives","Rejected","Part of Poruwa ceremony party"
"Dinesh Weerasinghe","dinesh.weerasinghe@hotmail.com","0766109503","Relatives","Accepted","Elderly guest"
"Nayana Perera","nayana.perera@outlook.com","0783140029","Bride's Colleagues","Accepted","Halal meal required"
"Nimasha Gunasekara","nimasha.gunasekara@hotmail.com","0705734685","Bride's Family","Accepted","Late arrival expected"
"Sanjeewa Gunasekara","sanjeewa.gunasekara@outlook.com","0757401599","Relatives","Accepted","Vegan meal"
"Sampath de Zoysa","sampath.dezoysa@outlook.com","0787044627","Relatives","Accepted","Vegetarian meal"
"Chamara Jayawardena","chamara.jayawardena@gmail.com","0719165493","Relatives","Accepted","Vegetarian meal"
"Roshan Abeysekara","roshan.abeysekara@outlook.com","0788142130","Other","Accepted","No pork"
"Nipun Wijesinghe","nipun.wijesinghe@outlook.com","0724787304","Bride's Friends","Accepted",""
"Gimhani Wijeratne","gimhani.wijeratne@yahoo.com","0779417612","Bride's Colleagues","Accepted","Halal meal required"
"Sachini Fernando","sachini.fernando@outlook.com","0777183722","Groom's Family","Accepted",""
"Chamath Mendis","chamath.mendis@hotmail.com","0759672974","Groom's Family","Accepted",""
"Roshan Wijeratne","roshan.wijeratne@gmail.com","0776242875","Other","Accepted","Requires seat near stage"
"Nimasha Kumarasinghe","nimasha.kumarasinghe@outlook.com","0768872413","Other","Accepted","Traveling from Jaffna"
"Kavinda Senanayake","kavinda.senanayake@hotmail.com","0711592675","Other","Accepted","Late arrival expected"
"Roshan Kumarasinghe","roshan.kumarasinghe@yahoo.com","0761866037","Bride's Colleagues","Accepted",""
"Chamara Wickramasinghe","chamara.wickramasinghe@gmail.com","0785661529","Bride's Colleagues","Accepted","Bringing +1"
"Isuru Perera","isuru.perera@gmail.com","0763929534","Other","Accepted","Part of Poruwa ceremony party"
"Tharindu Bandara","tharindu.bandara@yahoo.com","0754033474","Neighbours","Accepted","Requires seat near stage"
"Ishara Herath","ishara.herath@yahoo.com","0789320631","Relatives","Rejected","Needs wheelchair access"
"Yasodha Jayawardena","yasodha.jayawardena@yahoo.com","0716789409","Bride's Family","Accepted",""
"Chanaka Karunaratne","chanaka.karunaratne@outlook.com","0728990421","Neighbours","Pending","Traveling from Kandy"
"Ruwan Mendis","ruwan.mendis@outlook.com","0705845129","VIP","Accepted","Requires seat near stage"
"Poornima Fernando","poornima.fernando@gmail.com","0766936250","Relatives","Pending","Bringing +1"
"Isuru Jayasuriya","isuru.jayasuriya@hotmail.com","0777562471","VIP","Accepted","Needs wheelchair access"
"Nayana Samarasinghe","nayana.samarasinghe@yahoo.com","0766660743","Bride's Friends","Accepted",""
"Achini Silva","achini.silva@gmail.com","0752639113","Neighbours","Accepted","Part of Poruwa ceremony party"
"Chamath Senanayake","chamath.senanayake@hotmail.com","0711571126","Bride's Family","Accepted",""
"Poornima Rajapaksha","poornima.rajapaksha@gmail.com","0773012881","Groom's Family","Accepted","Vegetarian meal"
"Harsha Jayawardena","harsha.jayawardena@yahoo.com","0704091420","Bride's Colleagues","Accepted",""
"Deshani Bandara","deshani.bandara@outlook.com","0776425820","Bride's Colleagues","Accepted",""
"Nuwan Karunaratne","nuwan.karunaratne@outlook.com","0722007616","Bride's Colleagues","Accepted","Bringing +1"
"Chamara Kumarasinghe","chamara.kumarasinghe@yahoo.com","0767587312","Bride's Friends","Accepted",""
"Harsha Abeysekara","harsha.abeysekara@yahoo.com","0762782574","VIP","Accepted",""
"Chamara Amarasinghe","chamara.amarasinghe@hotmail.com","0788480659","Bride's Family","Accepted","Vegetarian meal"
"Nimasha Fernando","nimasha.fernando@outlook.com","0723543551","Groom's Colleagues","Accepted","Late arrival expected"
"Asela Samarasinghe","asela.samarasinghe1@outlook.com","0758315833","Relatives","Pending",""
"Nimasha Karunaratne","nimasha.karunaratne@outlook.com","0709980912","Groom's Colleagues","Accepted","Bringing 2 children"
"Roshan Jayawardena","roshan.jayawardena@gmail.com","0729969540","Groom's Colleagues","Accepted","Part of Poruwa ceremony party"
"Nadeesha Jayawardena","nadeesha.jayawardena@yahoo.com","0711659867","Relatives","Pending","Bringing 2 children"
"Sithara Jayasuriya","sithara.jayasuriya@hotmail.com","0752423756","VIP","Accepted","Vegetarian meal"
"Kasun Wijeratne","kasun.wijeratne@yahoo.com","0757522436","Groom's Family","Accepted","Bringing 2 children"
"Nipun Wijesinghe","nipun.wijesinghe@gmail.com","0706692259","Bride's Family","Accepted",""
"Sampath Jayawardena","sampath.jayawardena@outlook.com","0773499027","Other","Accepted",""
"Ruwan Kumarasinghe","ruwan.kumarasinghe@gmail.com","0751768424","Groom's Friends","Accepted","Vegetarian meal"
"Roshan Fernando","roshan.fernando@hotmail.com","0782632292","VIP","Accepted","Late arrival expected"
"Nipun Jayasuriya","nipun.jayasuriya@gmail.com","0754700592","Groom's Family","Accepted","Traveling from Jaffna"
"Nipun Wijeratne","nipun.wijeratne@outlook.com","0723026728","Other","Accepted","Requires seat near stage"
"Thanuja Rajapaksha","thanuja.rajapaksha@gmail.com","0763909968","Groom's Colleagues","Accepted","Bringing +1"
"Ravindu Gunawardena","ravindu.gunawardena@hotmail.com","0763768343","VIP","Accepted","Late arrival expected"
"Dilshan Jayawardena","dilshan.jayawardena@outlook.com","0783646667","Bride's Family","Accepted",""
"Tharindu Silva","tharindu.silva@hotmail.com","0758986164","Bride's Friends","Accepted","Bringing +1"
"Chamodi Dissanayake","chamodi.dissanayake@yahoo.com","0761631179","Other","Accepted","Confirmed via WhatsApp"
"Dilini Jayawardena","dilini.jayawardena@hotmail.com","0728026061","Bride's Family","Accepted","Allergic to peanuts"
"Buddhika Jayasuriya","buddhika.jayasuriya@hotmail.com","0789515120","Groom's Friends","Accepted","Allergic to peanuts"
"Sampath Jayasuriya","sampath.jayasuriya@yahoo.com","0778959326","VIP","Accepted",""
"Prasad Senanayake","prasad.senanayake@yahoo.com","0755217486","Groom's Colleagues","Accepted","Part of Poruwa ceremony party"
"Chamath Fernando","chamath.fernando@yahoo.com","0711487633","VIP","Accepted",""
"Yasodha Wijesinghe","yasodha.wijesinghe@hotmail.com","0754334495","Groom's Colleagues","Accepted",""
"Dilshan Dissanayake","dilshan.dissanayake@outlook.com","0784354702","Relatives","Pending",""
"Malith Fernando","malith.fernando@outlook.com","0714626649","Other","Accepted","Traveling from Kandy"
"Chanaka Wijeratne","chanaka.wijeratne@yahoo.com","0777016144","Bride's Colleagues","Accepted","Vegetarian meal"
"Amila Fernando","amila.fernando@hotmail.com","0712864104","VIP","Accepted","Vegan meal"
"Anjali Senanayake","anjali.senanayake@yahoo.com","0783851044","Other","Accepted","Needs wheelchair access"
"Yohan Mendis","yohan.mendis@outlook.com","0784631304","Other","Accepted","Part of Poruwa ceremony party"
"Chamath Abeysekara","chamath.abeysekara@yahoo.com","0716491114","Relatives","Pending","Late arrival expected"
"Deshani Amarasinghe","deshani.amarasinghe@gmail.com","0751741958","Bride's Family","Accepted","No pork"
"Buddhika Karunaratne","buddhika.karunaratne@outlook.com","0782644153","VIP","Accepted",""
"Nimasha Gunasekara","nimasha.gunasekara@outlook.com","0713226537","Groom's Colleagues","Accepted",""
"Dinesh Senanayake","dinesh.senanayake@yahoo.com","0778705487","Other","Accepted",""
"Sanduni Samarasinghe","sanduni.samarasinghe@yahoo.com","0787800818","Bride's Friends","Accepted","Elderly guest"
"Shanika Jayawardena","shanika.jayawardena@gmail.com","0782186125","Relatives","Pending","Requires seat near stage"
"Nadeesha Abeysekara","nadeesha.abeysekara@hotmail.com","0774475340","Groom's Family","Accepted","Requires seat near stage"
"Sachini Mendis","sachini.mendis@hotmail.com","0702861709","Relatives","Pending",""
"Tharindu Jayawardena","tharindu.jayawardena@gmail.com","0764434507","Bride's Friends","Accepted","Needs wheelchair access"
"Kaveesha Kumarasinghe","kaveesha.kumarasinghe@yahoo.com","0784782209","Groom's Colleagues","Accepted","Bringing +1"
"Chamodi Bandara","chamodi.bandara@gmail.com","0707254777","Groom's Colleagues","Accepted","No pork"
"Chathurika Kumarasinghe","chathurika.kumarasinghe@hotmail.com","0757176462","Groom's Family","Accepted","Part of Poruwa ceremony party"
"Nadeeka Gunawardena","nadeeka.gunawardena@hotmail.com","0702834838","Bride's Friends","Accepted","Vegetarian meal"
"Yohan Rajapaksha","yohan.rajapaksha@gmail.com","0727988325","Neighbours","Accepted","Confirmed via WhatsApp"
"Chanaka Wijeratne","chanaka.wijeratne@gmail.com","0724171911","Groom's Family","Accepted","Needs wheelchair access"
"Amaya Jayawardena","amaya.jayawardena@hotmail.com","0756751103","Groom's Colleagues","Accepted","No pork"
"Sanduni Wijesinghe","sanduni.wijesinghe@hotmail.com","0763213824","Bride's Colleagues","Accepted","Bringing +1"
"Prasad Senanayake","prasad.senanayake@gmail.com","0716924385","Bride's Colleagues","Accepted","Vegan meal"
"Piumi Gunasekara","piumi.gunasekara@hotmail.com","0713942041","Bride's Friends","Accepted",""
"Sanjeewa Amarasinghe","sanjeewa.amarasinghe@yahoo.com","0755368907","Groom's Colleagues","Accepted","Halal meal required"
"Poornima Weerasinghe","poornima.weerasinghe@hotmail.com","0717256474","VIP","Accepted","Vegan meal"
"Chathurika Perera","chathurika.perera@outlook.com","0753439136","VIP","Accepted","Vegetarian meal"
"Chamath de Zoysa","chamath.dezoysa@hotmail.com","0775958621","VIP","Accepted","Late arrival expected"
"Thanuja Amarasinghe","thanuja.amarasinghe@outlook.com","0722884343","VIP","Accepted","Vegetarian meal"
"Chathurika Senanayake","chathurika.senanayake@gmail.com","0754697107","VIP","Accepted","Requires seat near stage"
"Roshan Rajapaksha","roshan.rajapaksha@yahoo.com","0785662844","Groom's Friends","Accepted","Halal meal required"
"Poornima Rathnayake","poornima.rathnayake@gmail.com","0767617330","Groom's Friends","Accepted","No pork"
"Deshani Rathnayake","deshani.rathnayake1@hotmail.com","0753482120","Relatives","Pending","Elderly guest"
"Prasad Ranasinghe","prasad.ranasinghe@hotmail.com","0752469661","Groom's Friends","Accepted","Part of Poruwa ceremony party"
"Chamodi Wijesinghe","chamodi.wijesinghe@hotmail.com","0718110724","Relatives","Pending","Late arrival expected"
"Ishara Rajapaksha","ishara.rajapaksha1@hotmail.com","0759813089","Groom's Colleagues","Accepted","Late arrival expected"
"Dilini Perera","dilini.perera@outlook.com","0775585697","Relatives","Pending","Part of Poruwa ceremony party"
"Menaka Wickramasinghe","menaka.wickramasinghe@yahoo.com","0717405029","Bride's Colleagues","Accepted",""
"Nadeesha Amarasinghe","nadeesha.amarasinghe@hotmail.com","0758775431","Groom's Friends","Accepted",""
"Chathura Jayawardena","chathura.jayawardena@outlook.com","0705826621","Relatives","Pending","Needs wheelchair access"
"Harsha Bandara","harsha.bandara@outlook.com","0707069317","Other","Accepted","Traveling from Jaffna"
"Kaveesha Rathnayake","kaveesha.rathnayake@outlook.com","0773006281","Groom's Colleagues","Rejected","Late arrival expected"
"Isuru Gunawardena","isuru.gunawardena@gmail.com","0716363359","VIP","Accepted","Vegetarian meal"
"Nuwan Bandara","nuwan.bandara@hotmail.com","0756972425","Bride's Family","Accepted","No pork"
"Dilini Mendis","dilini.mendis@yahoo.com","0784074382","Groom's Family","Accepted","Vegan meal"
"Gimhani Weerasinghe","gimhani.weerasinghe@hotmail.com","0727082121","Groom's Family","Accepted","Elderly guest"
"Nimasha Wickramasinghe","nimasha.wickramasinghe@hotmail.com","0729135255","Relatives","Pending","Vegan meal"
"Ruwan Mendis","ruwan.mendis@yahoo.com","0784161109","Neighbours","Accepted","No pork"
"Shanika de Zoysa","shanika.dezoysa@gmail.com","0758725762","Groom's Family","Accepted","Vegetarian meal"
"Vidusha Ranasinghe","vidusha.ranasinghe@hotmail.com","0777082891","Bride's Friends","Accepted","No pork"
"Tharushi Gunawardena","tharushi.gunawardena@hotmail.com","0702989725","Groom's Friends","Accepted","Vegetarian meal"
"Nadeesha Wickramasinghe","nadeesha.wickramasinghe@yahoo.com","0712318772","Relatives","Pending",""
"Harsha Kumarasinghe","harsha.kumarasinghe@outlook.com","0704294223","Groom's Family","Accepted","No pork"
"Vidusha Jayasuriya","vidusha.jayasuriya@hotmail.com","0702111446","Bride's Colleagues","Accepted",""
"Deshani Herath","deshani.herath@yahoo.com","0764355853","Bride's Friends","Accepted",""
"Yohan Wijeratne","yohan.wijeratne@hotmail.com","0766835728","Groom's Colleagues","Rejected","No pork"
"Dulmini Dissanayake","dulmini.dissanayake@gmail.com","0701234617","Neighbours","Rejected","Allergic to peanuts"
"Piumi Samarasinghe","piumi.samarasinghe@gmail.com","0772655671","Groom's Friends","Accepted","Confirmed via WhatsApp"
"Amila Gunawardena","amila.gunawardena@outlook.com","0772800606","Bride's Friends","Accepted","Traveling from Kandy"
"Buddhika Dissanayake","buddhika.dissanayake@outlook.com","0706272748","Groom's Family","Accepted","No pork"
"Harsha Ranasinghe","harsha.ranasinghe@hotmail.com","0761681298","Groom's Family","Accepted",""
"Chanaka Herath","chanaka.herath@hotmail.com","0778448343","Groom's Friends","Accepted","Bringing 2 children"
"Chamodi Rajapaksha","chamodi.rajapaksha@gmail.com","0788980532","Groom's Colleagues","Rejected","Confirmed via WhatsApp"
"Rashmi Wijesinghe","rashmi.wijesinghe@gmail.com","0703405308","Relatives","Pending","Late arrival expected"
"Yasodha Gunawardena","yasodha.gunawardena@gmail.com","0724340115","Groom's Colleagues","Rejected","Traveling from Kandy"
"Nipun Abeysekara","nipun.abeysekara1@outlook.com","0725579723","Relatives","Pending","Traveling from Kandy"
"Amaya Bandara","amaya.bandara@yahoo.com","0788627505","Groom's Family","Accepted","Confirmed via WhatsApp"
"Roshan Wickramasinghe","roshan.wickramasinghe@gmail.com","0701886716","Groom's Family","Accepted",""
"Rashmi Herath","rashmi.herath@hotmail.com","0716079345","Other","Accepted",""
"Amaya Samarasinghe","amaya.samarasinghe@outlook.com","0788818548","Groom's Friends","Accepted","Confirmed via WhatsApp"
"Isuru de Zoysa","isuru.dezoysa@hotmail.com","0781296459","Bride's Family","Accepted",""
"Sanjeewa Karunaratne","sanjeewa.karunaratne@outlook.com","0751603663","Bride's Family","Accepted","Bringing 2 children"
"Piumi Kumarasinghe","piumi.kumarasinghe@outlook.com","0716242203","Relatives","Pending",""
"Vidusha Rathnayake","vidusha.rathnayake@outlook.com","0753622462","Neighbours","Rejected","Bringing +1"
"Nadeeka Herath","nadeeka.herath@hotmail.com","0785772070","Groom's Colleagues","Rejected","Late arrival expected"
"Nipun Ranasinghe","nipun.ranasinghe@hotmail.com","0781451304","Groom's Colleagues","Rejected","Traveling from Jaffna"
"Prasad Abeysekara","prasad.abeysekara@hotmail.com","0705097480","Groom's Friends","Accepted","Bringing 2 children"
"Deshani Gunasekara","deshani.gunasekara@gmail.com","0786115582","Groom's Family","Accepted",""
"Sachini Wijesinghe","sachini.wijesinghe@outlook.com","0769636236","Relatives","Pending","Confirmed via WhatsApp"
"Tharushi Karunaratne","tharushi.karunaratne@outlook.com","0722639564","VIP","Accepted","Allergic to peanuts"
"Buddhika Samarasinghe","buddhika.samarasinghe@hotmail.com","0716025126","Groom's Colleagues","Rejected","Allergic to peanuts"
"Yohan Silva","yohan.silva@yahoo.com","0725448564","Bride's Family","Accepted","Late arrival expected"
"Lahiru Herath","lahiru.herath@gmail.com","0772589366","Other","Accepted",""
"Amaya Kumarasinghe","amaya.kumarasinghe@outlook.com","0716827003","Groom's Family","Accepted","Bringing 2 children"
"Nadeesha Abeysekara","nadeesha.abeysekara1@hotmail.com","0717951039","Relatives","Pending","No pork"
