name,email,phone,group,notes,rsvp,relationship_type,priority,age_group,cluster
Amaya Samarasinghe,amaya.samarasinghe@gmail.com,715885179,VIP,Bringing 2 children,Accepted,vip,5,child,1
Nadeesha Wijesinghe,nadeesha.wijesinghe@yahoo.com,755939543,Other,No pork,Accepted,other,1,adult,3
Sanduni Jayawardena,sanduni.jayawardena@outlook.com,709399643,Groom's Family,Late arrival expected,Accepted,family,4,adult,2
Shanika de Zoysa,shanika.dezoysa@yahoo.com,757938373,Groom's Colleagues,Vegan meal,Accepted,colleague,2,adult,0
Thilina Gunasekara,thilina.gunasekara@yahoo.com,752512963,Bride's Colleagues,Vegan meal,Accepted,colleague,2,adult,0
Chathurika Silva,chathurika.silva@gmail.com,778539654,Groom's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult,0
Amaya Herath,amaya.herath@yahoo.com,757385526,Bride's Family,Requires seat near stage,Accepted,family,4,adult,2
Poornima Wickramasinghe,poornima.wickramasinghe@yahoo.com,783426109,Bride's Friends,,Accepted,friend,2,adult,4
Chathura Wijeratne,chathura.wijeratne@outlook.com,724031576,Groom's Family,Allergic to peanuts,Accepted,family,4,adult,2
Harsha Bandara,harsha.bandara@gmail.com,759348805,VIP,,Accepted,vip,5,adult,1
Vidusha Dissanayake,vidusha.dissanayake@yahoo.com,768981122,VIP,,Accepted,vip,5,adult,1
Nimasha Dissanayake,nimasha.dissanayake@hotmail.com,764483580,Bride's Family,,Accepted,family,4,adult,2
Sachini Wickramasinghe,sachini.wickramasinghe@gmail.com,776007018,Groom's Colleagues,,Accepted,colleague,2,adult,0
Tharindu Gunawardena,tharindu.gunawardena@hotmail.com,763976601,VIP,Elderly guest,Accepted,vip,5,senior,1
Dilini Senanayake,dilini.senanayake@outlook.com,713047210,Bride's Colleagues,Traveling from Jaffna,Accepted,colleague,2,adult,0
Shanika Rajapaksha,shanika.rajapaksha@gmail.com,709874251,Groom's Family,Bringing 2 children,Accepted,family,4,child,2
Yohan Weerasinghe,yohan.weerasinghe@hotmail.com,766936673,Bride's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Kaveesha Kumarasinghe,kaveesha.kumarasinghe@outlook.com,784018342,Other,Bringing 2 children,Accepted,other,1,child,3
Nimasha Jayasuriya,nimasha.jayasuriya@gmail.com,752978465,Groom's Friends,Traveling from Jaffna,Accepted,friend,2,adult,4
Sanjeewa Ranasinghe,sanjeewa.ranasinghe@yahoo.com,704375360,Bride's Colleagues,,Accepted,colleague,2,adult,0
Buddhika de Zoysa,buddhika.dezoysa@hotmail.com,781102865,Groom's Family,Requires seat near stage,Accepted,family,4,adult,2
Amila Herath,amila.herath@gmail.com,783946567,Groom's Friends,Requires seat near stage,Accepted,friend,2,adult,4
Vidusha Kumarasinghe,vidusha.kumarasinghe@gmail.com,773277572,VIP,Part of Poruwa ceremony party,Accepted,vip,5,adult,1
Iresha Weerasinghe,iresha.weerasinghe@outlook.com,787944979,Bride's Family,Bringing 2 children,Accepted,family,4,child,2
Poornima Weerasinghe,poornima.weerasinghe@gmail.com,716565326,Groom's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Kasun Weerasinghe,kasun.weerasinghe@outlook.com,779963616,Bride's Friends,Traveling from Kandy,Accepted,friend,2,adult,4
Dilshan Samarasinghe,dilshan.samarasinghe@hotmail.com,776276424,Bride's Family,,Accepted,family,4,adult,2
Lahiru Ranasinghe,lahiru.ranasinghe@outlook.com,786077267,Groom's Friends,Vegan meal,Accepted,friend,2,adult,4
Kavinda Fernando,kavinda.fernando@yahoo.com,708445293,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult,3
Ishara Rajapaksha,ishara.rajapaksha@hotmail.com,759785019,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Chathurika Mendis,chathurika.mendis@yahoo.com,711613249,VIP,No pork,Accepted,vip,5,adult,1
Chathura Fernando,chathura.fernando@gmail.com,728832877,Bride's Family,Bringing 2 children,Accepted,family,4,child,2
Harsha Senanayake,harsha.senanayake@yahoo.com,724364763,Groom's Friends,Halal meal required,Accepted,friend,2,adult,4
Chanaka Rathnayake,chanaka.rathnayake@gmail.com,723505186,Bride's Friends,,Accepted,friend,2,adult,4
Iresha Mendis,iresha.mendis@gmail.com,716877363,Neighbours,Vegetarian meal,Accepted,other,1,adult,3
Thanuja Senanayake,thanuja.senanayake@yahoo.com,712195257,Bride's Colleagues,Requires seat near stage,Accepted,colleague,2,adult,0
Sachini Wickramasinghe,sachini.wickramasinghe1@gmail.com,751846511,Groom's Family,,Accepted,family,4,adult,2
Tharindu Gunasekara,tharindu.gunasekara@outlook.com,766966385,Bride's Colleagues,Allergic to peanuts,Accepted,colleague,2,adult,0
Poornima de Zoysa,poornima.dezoysa@gmail.com,788813071,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Chathura Rathnayake,chathura.rathnayake@outlook.com,754887183,Groom's Friends,Bringing +1,Accepted,friend,2,adult,4
Rashmi Gunawardena,rashmi.gunawardena@hotmail.com,786448586,VIP,,Accepted,vip,5,adult,1
Prasad Kumarasinghe,prasad.kumarasinghe@outlook.com,783865574,Bride's Colleagues,Late arrival expected,Accepted,colleague,2,adult,0
Dilshan Karunaratne,dilshan.karunaratne@gmail.com,722189907,Bride's Colleagues,Traveling from Kandy,Accepted,colleague,2,adult,0
Anjali Herath,anjali.herath@yahoo.com,763667917,VIP,Requires seat near stage,Accepted,vip,5,adult,1
Asela Amarasinghe,asela.amarasinghe@outlook.com,788304023,Other,Halal meal required,Accepted,other,1,adult,3
Piumi Rathnayake,piumi.rathnayake@gmail.com,779164301,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult,2
Dilshan Wijesinghe,dilshan.wijesinghe@yahoo.com,727808088,Groom's Family,Traveling from Kandy,Accepted,family,4,adult,2
Roshan Rathnayake,roshan.rathnayake@gmail.com,704650919,Bride's Friends,,Accepted,friend,2,adult,4
Dinesh Weerasinghe,dinesh.weerasinghe@hotmail.com,766109503,Relatives,Elderly guest,Accepted,family,3,senior,2
Nayana Perera,nayana.perera@outlook.com,783140029,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult,0
Nimasha Gunasekara,nimasha.gunasekara@hotmail.com,705734685,Bride's Family,Late arrival expected,Accepted,family,4,adult,2
Sanjeewa Gunasekara,sanjeewa.gunasekara@outlook.com,757401599,Relatives,Vegan meal,Accepted,family,3,adult,2
Sampath de Zoysa,sampath.dezoysa@outlook.com,787044627,Relatives,Vegetarian meal,Accepted,family,3,adult,2
Chamara Jayawardena,chamara.jayawardena@gmail.com,719165493,Relatives,Vegetarian meal,Accepted,family,3,adult,2
Roshan Abeysekara,roshan.abeysekara@outlook.com,788142130,Other,No pork,Accepted,other,1,adult,3
Nipun Wijesinghe,nipun.wijesinghe@outlook.com,724787304,Bride's Friends,,Accepted,friend,2,adult,4
Gimhani Wijeratne,gimhani.wijeratne@yahoo.com,779417612,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult,0
Sachini Fernando,sachini.fernando@outlook.com,777183722,Groom's Family,,Accepted,family,4,adult,2
Chamath Mendis,chamath.mendis@hotmail.com,759672974,Groom's Family,,Accepted,family,4,adult,2
Roshan Wijeratne,roshan.wijeratne@gmail.com,776242875,Other,Requires seat near stage,Accepted,other,1,adult,3
Nimasha Kumarasinghe,nimasha.kumarasinghe@outlook.com,768872413,Other,Traveling from Jaffna,Accepted,other,1,adult,3
Kavinda Senanayake,kavinda.senanayake@hotmail.com,711592675,Other,Late arrival expected,Accepted,other,1,adult,3
Roshan Kumarasinghe,roshan.kumarasinghe@yahoo.com,761866037,Bride's Colleagues,,Accepted,colleague,2,adult,0
Chamara Wickramasinghe,chamara.wickramasinghe@gmail.com,785661529,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult,0
Isuru Perera,isuru.perera@gmail.com,763929534,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Tharindu Bandara,tharindu.bandara@yahoo.com,754033474,Neighbours,Requires seat near stage,Accepted,other,1,adult,3
Yasodha Jayawardena,yasodha.jayawardena@yahoo.com,716789409,Bride's Family,,Accepted,family,4,adult,2
Ruwan Mendis,ruwan.mendis@outlook.com,705845129,VIP,Requires seat near stage,Accepted,vip,5,adult,1
Isuru Jayasuriya,isuru.jayasuriya@hotmail.com,777562471,VIP,Needs wheelchair access,Accepted,vip,5,adult,1
Nayana Samarasinghe,nayana.samarasinghe@yahoo.com,766660743,Bride's Friends,,Accepted,friend,2,adult,4
Achini Silva,achini.silva@gmail.com,752639113,Neighbours,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Chamath Senanayake,chamath.senanayake@hotmail.com,711571126,Bride's Family,,Accepted,family,4,adult,2
Poornima Rajapaksha,poornima.rajapaksha@gmail.com,773012881,Groom's Family,Vegetarian meal,Accepted,family,4,adult,2
Harsha Jayawardena,harsha.jayawardena@yahoo.com,704091420,Bride's Colleagues,,Accepted,colleague,2,adult,0
Deshani Bandara,deshani.bandara@outlook.com,776425820,Bride's Colleagues,,Accepted,colleague,2,adult,0
Nuwan Karunaratne,nuwan.karunaratne@outlook.com,722007616,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult,0
Chamara Kumarasinghe,chamara.kumarasinghe@yahoo.com,767587312,Bride's Friends,,Accepted,friend,2,adult,4
Harsha Abeysekara,harsha.abeysekara@yahoo.com,762782574,VIP,,Accepted,vip,5,adult,1
Chamara Amarasinghe,chamara.amarasinghe@hotmail.com,788480659,Bride's Family,Vegetarian meal,Accepted,family,4,adult,2
Nimasha Fernando,nimasha.fernando@outlook.com,723543551,Groom's Colleagues,Late arrival expected,Accepted,colleague,2,adult,0
Nimasha Karunaratne,nimasha.karunaratne@outlook.com,709980912,Groom's Colleagues,Bringing 2 children,Accepted,colleague,2,child,0
Roshan Jayawardena,roshan.jayawardena@gmail.com,729969540,Groom's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult,0
Sithara Jayasuriya,sithara.jayasuriya@hotmail.com,752423756,VIP,Vegetarian meal,Accepted,vip,5,adult,1
Kasun Wijeratne,kasun.wijeratne@yahoo.com,757522436,Groom's Family,Bringing 2 children,Accepted,family,4,child,2
Nipun Wijesinghe,nipun.wijesinghe@gmail.com,706692259,Bride's Family,,Accepted,family,4,adult,2
Sampath Jayawardena,sampath.jayawardena@outlook.com,773499027,Other,,Accepted,other,1,adult,3
Ruwan Kumarasinghe,ruwan.kumarasinghe@gmail.com,751768424,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult,4
Roshan Fernando,roshan.fernando@hotmail.com,782632292,VIP,Late arrival expected,Accepted,vip,5,adult,1
Nipun Jayasuriya,nipun.jayasuriya@gmail.com,754700592,Groom's Family,Traveling from Jaffna,Accepted,family,4,adult,2
Nipun Wijeratne,nipun.wijeratne@outlook.com,723026728,Other,Requires seat near stage,Accepted,other,1,adult,3
Thanuja Rajapaksha,thanuja.rajapaksha@gmail.com,763909968,Groom's Colleagues,Bringing +1,Accepted,colleague,2,adult,0
Ravindu Gunawardena,ravindu.gunawardena@hotmail.com,763768343,VIP,Late arrival expected,Accepted,vip,5,adult,1
Dilshan Jayawardena,dilshan.jayawardena@outlook.com,783646667,Bride's Family,,Accepted,family,4,adult,2
Tharindu Silva,tharindu.silva@hotmail.com,758986164,Bride's Friends,Bringing +1,Accepted,friend,2,adult,4
Chamodi Dissanayake,chamodi.dissanayake@yahoo.com,761631179,Other,Confirmed via WhatsApp,Accepted,other,1,adult,3
Dilini Jayawardena,dilini.jayawardena@hotmail.com,728026061,Bride's Family,Allergic to peanuts,Accepted,family,4,adult,2
Buddhika Jayasuriya,buddhika.jayasuriya@hotmail.com,789515120,Groom's Friends,Allergic to peanuts,Accepted,friend,2,adult,4
Sampath Jayasuriya,sampath.jayasuriya@yahoo.com,778959326,VIP,,Accepted,vip,5,adult,1
Prasad Senanayake,prasad.senanayake@yahoo.com,755217486,Groom's Colleagues,Part of Poruwa ceremony party,Accepted,colleague,2,adult,0
Chamath Fernando,chamath.fernando@yahoo.com,711487633,VIP,,Accepted,vip,5,adult,1
Yasodha Wijesinghe,yasodha.wijesinghe@hotmail.com,754334495,Groom's Colleagues,,Accepted,colleague,2,adult,0
Malith Fernando,malith.fernando@outlook.com,714626649,Other,Traveling from Kandy,Accepted,other,1,adult,3
Chanaka Wijeratne,chanaka.wijeratne@yahoo.com,777016144,Bride's Colleagues,Vegetarian meal,Accepted,colleague,2,adult,0
Amila Fernando,amila.fernando@hotmail.com,712864104,VIP,Vegan meal,Accepted,vip,5,adult,1
Anjali Senanayake,anjali.senanayake@yahoo.com,783851044,Other,Needs wheelchair access,Accepted,other,1,adult,3
Yohan Mendis,yohan.mendis@outlook.com,784631304,Other,Part of Poruwa ceremony party,Accepted,other,1,adult,3
Deshani Amarasinghe,deshani.amarasinghe@gmail.com,751741958,Bride's Family,No pork,Accepted,family,4,adult,2
Buddhika Karunaratne,buddhika.karunaratne@outlook.com,782644153,VIP,,Accepted,vip,5,adult,1
Nimasha Gunasekara,nimasha.gunasekara@outlook.com,713226537,Groom's Colleagues,,Accepted,colleague,2,adult,0
Dinesh Senanayake,dinesh.senanayake@yahoo.com,778705487,Other,,Accepted,other,1,adult,3
Sanduni Samarasinghe,sanduni.samarasinghe@yahoo.com,787800818,Bride's Friends,Elderly guest,Accepted,friend,2,senior,4
Nadeesha Abeysekara,nadeesha.abeysekara@hotmail.com,774475340,Groom's Family,Requires seat near stage,Accepted,family,4,adult,2
Tharindu Jayawardena,tharindu.jayawardena@gmail.com,764434507,Bride's Friends,Needs wheelchair access,Accepted,friend,2,adult,4
Kaveesha Kumarasinghe,kaveesha.kumarasinghe@yahoo.com,784782209,Groom's Colleagues,Bringing +1,Accepted,colleague,2,adult,0
Chamodi Bandara,chamodi.bandara@gmail.com,707254777,Groom's Colleagues,No pork,Accepted,colleague,2,adult,0
Chathurika Kumarasinghe,chathurika.kumarasinghe@hotmail.com,757176462,Groom's Family,Part of Poruwa ceremony party,Accepted,family,4,adult,2
Nadeeka Gunawardena,nadeeka.gunawardena@hotmail.com,702834838,Bride's Friends,Vegetarian meal,Accepted,friend,2,adult,4
Yohan Rajapaksha,yohan.rajapaksha@gmail.com,727988325,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult,3
Chanaka Wijeratne,chanaka.wijeratne@gmail.com,724171911,Groom's Family,Needs wheelchair access,Accepted,family,4,adult,2
Amaya Jayawardena,amaya.jayawardena@hotmail.com,756751103,Groom's Colleagues,No pork,Accepted,colleague,2,adult,0
Sanduni Wijesinghe,sanduni.wijesinghe@hotmail.com,763213824,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult,0
Prasad Senanayake,prasad.senanayake@gmail.com,716924385,Bride's Colleagues,Vegan meal,Accepted,colleague,2,adult,0
Piumi Gunasekara,piumi.gunasekara@hotmail.com,713942041,Bride's Friends,,Accepted,friend,2,adult,4
Sanjeewa Amarasinghe,sanjeewa.amarasinghe@yahoo.com,755368907,Groom's Colleagues,Halal meal required,Accepted,colleague,2,adult,0
Poornima Weerasinghe,poornima.weerasinghe@hotmail.com,717256474,VIP,Vegan meal,Accepted,vip,5,adult,1
Chathurika Perera,chathurika.perera@outlook.com,753439136,VIP,Vegetarian meal,Accepted,vip,5,adult,1
Chamath de Zoysa,chamath.dezoysa@hotmail.com,775958621,VIP,Late arrival expected,Accepted,vip,5,adult,1
Thanuja Amarasinghe,thanuja.amarasinghe@outlook.com,722884343,VIP,Vegetarian meal,Accepted,vip,5,adult,1
Chathurika Senanayake,chathurika.senanayake@gmail.com,754697107,VIP,Requires seat near stage,Accepted,vip,5,adult,1
Roshan Rajapaksha,roshan.rajapaksha@yahoo.com,785662844,Groom's Friends,Halal meal required,Accepted,friend,2,adult,4
Poornima Rathnayake,poornima.rathnayake@gmail.com,767617330,Groom's Friends,No pork,Accepted,friend,2,adult,4
Prasad Ranasinghe,prasad.ranasinghe@hotmail.com,752469661,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult,4
Ishara Rajapaksha,ishara.rajapaksha1@hotmail.com,759813089,Groom's Colleagues,Late arrival expected,Accepted,colleague,2,adult,0
Menaka Wickramasinghe,menaka.wickramasinghe@yahoo.com,717405029,Bride's Colleagues,,Accepted,colleague,2,adult,0
Nadeesha Amarasinghe,nadeesha.amarasinghe@hotmail.com,758775431,Groom's Friends,,Accepted,friend,2,adult,4
Harsha Bandara,harsha.bandara@outlook.com,707069317,Other,Traveling from Jaffna,Accepted,other,1,adult,3
Isuru Gunawardena,isuru.gunawardena@gmail.com,716363359,VIP,Vegetarian meal,Accepted,vip,5,adult,1
Nuwan Bandara,nuwan.bandara@hotmail.com,756972425,Bride's Family,No pork,Accepted,family,4,adult,2
Dilini Mendis,dilini.mendis@yahoo.com,784074382,Groom's Family,Vegan meal,Accepted,family,4,adult,2
Gimhani Weerasinghe,gimhani.weerasinghe@hotmail.com,727082121,Groom's Family,Elderly guest,Accepted,family,4,senior,2
Ruwan Mendis,ruwan.mendis@yahoo.com,784161109,Neighbours,No pork,Accepted,other,1,adult,3
Shanika de Zoysa,shanika.dezoysa@gmail.com,758725762,Groom's Family,Vegetarian meal,Accepted,family,4,adult,2
Vidusha Ranasinghe,vidusha.ranasinghe@hotmail.com,777082891,Bride's Friends,No pork,Accepted,friend,2,adult,4
Tharushi Gunawardena,tharushi.gunawardena@hotmail.com,702989725,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult,4
Harsha Kumarasinghe,harsha.kumarasinghe@outlook.com,704294223,Groom's Family,No pork,Accepted,family,4,adult,2
Vidusha Jayasuriya,vidusha.jayasuriya@hotmail.com,702111446,Bride's Colleagues,,Accepted,colleague,2,adult,0
Deshani Herath,deshani.herath@yahoo.com,764355853,Bride's Friends,,Accepted,friend,2,adult,4
Piumi Samarasinghe,piumi.samarasinghe@gmail.com,772655671,Groom's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Amila Gunawardena,amila.gunawardena@outlook.com,772800606,Bride's Friends,Traveling from Kandy,Accepted,friend,2,adult,4
Buddhika Dissanayake,buddhika.dissanayake@outlook.com,706272748,Groom's Family,No pork,Accepted,family,4,adult,2
Harsha Ranasinghe,harsha.ranasinghe@hotmail.com,761681298,Groom's Family,,Accepted,family,4,adult,2
Chanaka Herath,chanaka.herath@hotmail.com,778448343,Groom's Friends,Bringing 2 children,Accepted,friend,2,child,4
Amaya Bandara,amaya.bandara@yahoo.com,788627505,Groom's Family,Confirmed via WhatsApp,Accepted,family,4,adult,2
Roshan Wickramasinghe,roshan.wickramasinghe@gmail.com,701886716,Groom's Family,,Accepted,family,4,adult,2
Rashmi Herath,rashmi.herath@hotmail.com,716079345,Other,,Accepted,other,1,adult,3
Amaya Samarasinghe,amaya.samarasinghe@outlook.com,788818548,Groom's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult,4
Isuru de Zoysa,isuru.dezoysa@hotmail.com,781296459,Bride's Family,,Accepted,family,4,adult,2
Sanjeewa Karunaratne,sanjeewa.karunaratne@outlook.com,751603663,Bride's Family,Bringing 2 children,Accepted,family,4,child,2
Prasad Abeysekara,prasad.abeysekara@hotmail.com,705097480,Groom's Friends,Bringing 2 children,Accepted,friend,2,child,4
Deshani Gunasekara,deshani.gunasekara@gmail.com,786115582,Groom's Family,,Accepted,family,4,adult,2
Tharushi Karunaratne,tharushi.karunaratne@outlook.com,722639564,VIP,Allergic to peanuts,Accepted,vip,5,adult,1
Yohan Silva,yohan.silva@yahoo.com,725448564,Bride's Family,Late arrival expected,Accepted,family,4,adult,2
Lahiru Herath,lahiru.herath@gmail.com,772589366,Other,,Accepted,other,1,adult,3
Amaya Kumarasinghe,amaya.kumarasinghe@outlook.com,716827003,Groom's Family,Bringing 2 children,Accepted,family,4,child,2
Harsha de Zoysa,harsha.dezoysa@yahoo.com,709660803,Bride's Friends,Allergic to peanuts,Accepted,friend,2,adult,4
Achini Wijeratne,achini.wijeratne@outlook.com,729937547,Other,Traveling from Jaffna,Accepted,other,1,adult,3
Gimhani Abeysekara,gimhani.abeysekara@hotmail.com,785815809,Bride's Friends,Needs wheelchair access,Accepted,friend,2,adult,4
Dilshan Wickramasinghe,dilshan.wickramasinghe@yahoo.com,705120259,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult,0
Chamodi Jayawardena,chamodi.jayawardena@gmail.com,713673591,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult,0
Hansika Rathnayake,hansika.rathnayake@yahoo.com,771708541,VIP,,Accepted,vip,5,adult,1
Nipun Wijeratne,nipun.wijeratne@yahoo.com,712877913,Other,,Accepted,other,1,adult,3
Achini Amarasinghe,achini.amarasinghe@hotmail.com,752514123,Groom's Friends,Requires seat near stage,Accepted,friend,2,adult,4
Isuru Wijesinghe,isuru.wijesinghe@outlook.com,721938272,VIP,,Accepted,vip,5,adult,1
Nimasha Jayawardena,nimasha.jayawardena@gmail.com,781917249,Groom's Friends,Traveling from Kandy,Accepted,friend,2,adult,4
Asela Ranasinghe,asela.ranasinghe@gmail.com,764965830,VIP,Traveling from Kandy,Accepted,vip,5,adult,1
Deshani Bandara,deshani.bandara@hotmail.com,704950370,Bride's Colleagues,Vegan meal,Accepted,colleague,2,adult,0
Kaveesha Weerasinghe,kaveesha.weerasinghe@outlook.com,781568440,Bride's Colleagues,Confirmed via WhatsApp,Accepted,colleague,2,adult,0
