name,email,phone,group,notes,rsvp,relationship_type,priority,age_group
Yohan Rajapaksha,yohan.rajapaksha@gmail.com,0727988325,Neighbours,Confirmed via WhatsApp,Accepted,other,1,adult
Chanaka Wijeratne,chanaka.wijeratne@gmail.com,0724171911,Groom's Family,Needs wheelchair access,Accepted,family,4,adult
Amaya Jayawardena,amaya.jayawardena@hotmail.com,0756751103,Groom's Colleagues,No pork,Accepted,colleague,2,adult
Sanduni Wijesinghe,sanduni.wijesinghe@hotmail.com,0763213824,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult
Prasad Senanayake,prasad.senanayake@gmail.com,0716924385,Bride's Colleagues,Vegan meal,Accepted,colleague,2,adult
Piumi Gunasekara,piumi.gunasekara@hotmail.com,0713942041,Bride's Friends,,Accepted,friend,2,adult
Sanjeewa Amarasinghe,sanjeewa.amarasinghe@yahoo.com,0755368907,Groom's Colleagues,Halal meal required,Accepted,colleague,2,adult
Poornima Weerasinghe,poornima.weerasinghe@hotmail.com,0717256474,VIP,Vegan meal,Accepted,vip,5,adult
Chathurika Perera,chathurika.perera@outlook.com,0753439136,VIP,Vegetarian meal,Accepted,vip,5,adult
Chamath de Zoysa,chamath.dezoysa@hotmail.com,0775958621,VIP,Late arrival expected,Accepted,vip,5,adult
Thanuja Amarasinghe,thanuja.amarasinghe@outlook.com,0722884343,VIP,Vegetarian meal,Accepted,vip,5,adult
Chathurika Senanayake,chathurika.senanayake@gmail.com,0754697107,VIP,Requires seat near stage,Accepted,vip,5,adult
Roshan Rajapaksha,roshan.rajapaksha@yahoo.com,0785662844,Groom's Friends,Halal meal required,Accepted,friend,2,adult
Poornima Rathnayake,poornima.rathnayake@gmail.com,0767617330,Groom's Friends,No pork,Accepted,friend,2,adult
Prasad Ranasinghe,prasad.ranasinghe@hotmail.com,0752469661,Groom's Friends,Part of Poruwa ceremony party,Accepted,friend,2,adult
Ishara Rajapaksha,ishara.rajapaksha1@hotmail.com,0759813089,Groom's Colleagues,Late arrival expected,Accepted,colleague,2,adult
Menaka Wickramasinghe,menaka.wickramasinghe@yahoo.com,0717405029,Bride's Colleagues,,Accepted,colleague,2,adult
Nadeesha Amarasinghe,nadeesha.amarasinghe@hotmail.com,0758775431,Groom's Friends,,Accepted,friend,2,adult
Harsha Bandara,harsha.bandara@outlook.com,0707069317,Other,Traveling from Jaffna,Accepted,other,1,adult
Isuru Gunawardena,isuru.gunawardena@gmail.com,0716363359,VIP,Vegetarian meal,Accepted,vip,5,adult
Nuwan Bandara,nuwan.bandara@hotmail.com,0756972425,Bride's Family,No pork,Accepted,family,4,adult
Dilini Mendis,dilini.mendis@yahoo.com,0784074382,Groom's Family,Vegan meal,Accepted,family,4,adult
Gimhani Weerasinghe,gimhani.weerasinghe@hotmail.com,0727082121,Groom's Family,Elderly guest,Accepted,family,4,senior
Ruwan Mendis,ruwan.mendis@yahoo.com,0784161109,Neighbours,No pork,Accepted,other,1,adult
Shanika de Zoysa,shanika.dezoysa@gmail.com,0758725762,Groom's Family,Vegetarian meal,Accepted,family,4,adult
Vidusha Ranasinghe,vidusha.ranasinghe@hotmail.com,0777082891,Bride's Friends,No pork,Accepted,friend,2,adult
Tharushi Gunawardena,tharushi.gunawardena@hotmail.com,0702989725,Groom's Friends,Vegetarian meal,Accepted,friend,2,adult
Harsha Kumarasinghe,harsha.kumarasinghe@outlook.com,0704294223,Groom's Family,No pork,Accepted,family,4,adult
Vidusha Jayasuriya,vidusha.jayasuriya@hotmail.com,0702111446,Bride's Colleagues,,Accepted,colleague,2,adult
Deshani Herath,deshani.herath@yahoo.com,0764355853,Bride's Friends,,Accepted,friend,2,adult
Piumi Samarasinghe,piumi.samarasinghe@gmail.com,0772655671,Groom's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Amila Gunawardena,amila.gunawardena@outlook.com,0772800606,Bride's Friends,Traveling from Kandy,Accepted,friend,2,adult
Buddhika Dissanayake,buddhika.dissanayake@outlook.com,0706272748,Groom's Family,No pork,Accepted,family,4,adult
Harsha Ranasinghe,harsha.ranasinghe@hotmail.com,0761681298,Groom's Family,,Accepted,family,4,adult
Chanaka Herath,chanaka.herath@hotmail.com,0778448343,Groom's Friends,Bringing 2 children,Accepted,friend,2,child
Amaya Bandara,amaya.bandara@yahoo.com,0788627505,Groom's Family,Confirmed via WhatsApp,Accepted,family,4,adult
Roshan Wickramasinghe,roshan.wickramasinghe@gmail.com,0701886716,Groom's Family,,Accepted,family,4,adult
Rashmi Herath,rashmi.herath@hotmail.com,0716079345,Other,,Accepted,other,1,adult
Amaya Samarasinghe,amaya.samarasinghe@outlook.com,0788818548,Groom's Friends,Confirmed via WhatsApp,Accepted,friend,2,adult
Isuru de Zoysa,isuru.dezoysa@hotmail.com,0781296459,Bride's Family,,Accepted,family,4,adult
Sanjeewa Karunaratne,sanjeewa.karunaratne@outlook.com,0751603663,Bride's Family,Bringing 2 children,Accepted,family,4,child
Prasad Abeysekara,prasad.abeysekara@hotmail.com,0705097480,Groom's Friends,Bringing 2 children,Accepted,friend,2,child
Deshani Gunasekara,deshani.gunasekara@gmail.com,0786115582,Groom's Family,,Accepted,family,4,adult
Tharushi Karunaratne,tharushi.karunaratne@outlook.com,0722639564,VIP,Allergic to peanuts,Accepted,vip,5,adult
Yohan Silva,yohan.silva@yahoo.com,0725448564,Bride's Family,Late arrival expected,Accepted,family,4,adult
Lahiru Herath,lahiru.herath@gmail.com,0772589366,Other,,Accepted,other,1,adult
Amaya Kumarasinghe,amaya.kumarasinghe@outlook.com,0716827003,Groom's Family,Bringing 2 children,Accepted,family,4,child
Harsha de Zoysa,harsha.dezoysa@yahoo.com,0709660803,Bride's Friends,Allergic to peanuts,Accepted,friend,2,adult
Achini Wijeratne,achini.wijeratne@outlook.com,0729937547,Other,Traveling from Jaffna,Accepted,other,1,adult
Gimhani Abeysekara,gimhani.abeysekara@hotmail.com,0785815809,Bride's Friends,Needs wheelchair access,Accepted,friend,2,adult
Dilshan Wickramasinghe,dilshan.wickramasinghe@yahoo.com,0705120259,Bride's Colleagues,Halal meal required,Accepted,colleague,2,adult
Chamodi Jayawardena,chamodi.jayawardena@gmail.com,0713673591,Bride's Colleagues,Bringing +1,Accepted,colleague,2,adult
Hansika Rathnayake,hansika.rathnayake@yahoo.com,0771708541,VIP,,Accepted,vip,5,adult
Nipun Wijeratne,nipun.wijeratne@yahoo.com,0712877913,Other,,Accepted,other,1,adult
Achini Amarasinghe,achini.amarasinghe@hotmail.com,0752514123,Groom's Friends,Requires seat near stage,Accepted,friend,2,adult
Isuru Wijesinghe,isuru.wijesinghe@outlook.com,0721938272,VIP,,Accepted,vip,5,adult
Nimasha Jayawardena,nimasha.jayawardena@gmail.com,0781917249,Groom's Friends,Traveling from Kandy,Accepted,friend,2,adult
Asela Ranasinghe,asela.ranasinghe@gmail.com,0764965830,VIP,Traveling from Kandy,Accepted,vip,5,adult
Deshani Bandara,deshani.bandara@hotmail.com,0704950370,Bride's Colleagues,Vegan meal,Accepted,colleague,2,adult
Kaveesha Weerasinghe,kaveesha.weerasinghe@outlook.com,0781568440,Bride's Colleagues,Confirmed via WhatsApp,Accepted,colleague,2,adult
Ravindu Weerasinghe,ravindu.weerasinghe@outlook.com,0782684358,Bride's Friends,No pork,Accepted,friend,2,adult
Ravindu Herath,ravindu.herath@hotmail.com,0751458871,Bride's Family,Vegan meal,Accepted,family,4,adult
Thanuja Jayawardena,thanuja.jayawardena@yahoo.com,0707721990,Groom's Friends,Requires seat near stage,Accepted,friend,2,adult
Chathurika Gunawardena,chathurika.gunawardena@yahoo.com,0763182597,Other,Requires seat near stage,Accepted,other,1,adult
